,text,sentiment
60,máy thực_sự đỉnh mng ơi,positive
61,bphone bây_giờ chạy android mấy có được nâng_cấp lên android 10 android 11 hay không positive,positive
62,thật_sự chỉ ủng_hộ bkav thông_qua sản_phẩm diệt virut và cổ_vũ thôi chứ không có điều_kiện mua bphone nếu có điều_kiện thì mình sẵn_sàng rước e b86 về dinh,positive
63,thèm 1 chiếc b86 mà không có tiền 😌,positive
64,đang sở_hữu b3 muốn mua trả_góp có được giảm 1 triệu không ad positive,positive
65,mùng 5 mới được nhận lương negative các chú các bác admin chẳng biết cho cháu cơ_hội gì cả positive,positive
66,có đổi bphon cũ lấy mới ko,positive
67,có trợ_giá bên nhà mạng vt thì ngon positive,positive
68,chơi thiệt đây mấy bác,positive
69,muốn mua mà không biết là có được hưởng không có b3 nhưng không phải mua ở mobifone positive,positive
70,bao h thì b40 b60 mới mở bán vây,positive
71,đổi thôi em,positive
72,mua rồi có được giảm không ad positive,positive
73,ra thêm camera hành_trình gắn oto xe gắn_máy cầm tay nón bảo_hiểm_đeo trên đầu livestream nó đều rất hút hàng ạk positive,positive
74,chúc_mừng bkav,positive
75,chúc các anh luôn thành_công,positive
76,tự_hào quá bkav chúc các bạn ngày_càng pt đất_nước rất cần có những người có tư_tưởng lớn như các bạn,positive
77,làm nhiều bán giá phải_chăng để dân xài khỏi xài hàng tàu tránh phần_mềm gián_điệp,positive
78,uh cái này dùng yên_tâm hơn mấy ông tàu nên pt thật mạnh ở vn là sống khoẻ re positive,positive
79,thị_trường việt nam ntn ạh xin ip giá,positive
80,mong giá phù_hợp cho cả người việt dùng nữa,positive
81,xin giá từng loại đi ad ơi hợp_lý xúc_tiến luôn,positive
82,có bán tại việt nam chưa ad,positive
83,chúc bkav phát_triển mạnh_mẽ và tiếp_tục khơi nguồn cảm_hứng về tinh_thần việt nam hùng_mạnh,positive
84,tuyệt quá bkav positive,positive
85,tôi hy_vọng sản_phẩm_chất_lượng tốt quả ng bá được đất_nước mình positive positive,positive
86,ở vn có không hay chỉ có ở mĩ ạ,positive
87,bước_đi đúng_đắn hơn là điện_thoại có camera nổi_trội chúc_mừng bkav,positive
88,em không có tiền nên muốn mua b3 thì mua ở đâu ạ và giá bao_nhiêu ạ em cảm_ơn,positive
89,chúc_mừng các bạn giỏi quá positive,positive
90,chúc bkav vượt tầm_phủ khắp 5 châu,positive
91,giá_cả vừa miếng là múc positive,positive
92,chúc_mừng bkav tôi muốn làm nhà phân_phối tại hải_dương,positive
93,bao_giờ thì mở bán nhỉ để mua thay mấy cái mì xào mình đang dùng,positive
94,ý_tưởng này có vẻ khả_thi ủng_hộ positive positive positive positive,positive
95,dưới 1 củ solo với vsmart be chắc gắt lắm đây positive,positive
96,lấy tên bkav phone nó pro hơn nè,positive
97,viet bui anh quả ng ghê thật,positive
98,rán đợi thêm tháng đổi cái cục gạch positive positive positive,positive
99,nhớ là màn_hình ful hd cam nét kết_nối wi fi 4g tốt nếu tích_hợp cảm_ứng lên màn_hình nữa là đẹp có chplay đấy 😅 positive positive,positive
100,dòng điện_thoại smartphone cũng nên lấy tên là bkav thì sẽ đẹp hơn tên bphone mình chỉ góp_ý vậy thô negative negative negative positive negative,positive
101,khi nào ra_mắt điện vậy ad,positive
102,đa_số người việt nam có mức_sống ở mức trung_bình mong_muốn được sỡ hữu những chiếc điện_thoại đó phù_hợp với túi_tiền của mọi người positive,positive
103,máy này vỏ nhôm thì tuyệt_vời,positive
104,hợp_lý nhé,positive
105,đẹp đó hóng con màu xanh lá cây positive,positive
106,mk thích vuông mỏng positive negative,positive
107,ngoại_hình_như mấy máy 9900 9930 q10 q,positive
108,phát wifi ngon đấy positive,positive
109,ngon rồi cuối_cùng đã đến lúc mạnh_tay xuống tiền hốt vài iem cơ_bản của bphone fans club trải nghiệm không giới_hạn bkav positive,positive
110,pin ngon để lắp sim phụ nghe gọi phát wifi là ok positive positive,positive
111,bản này có thêm hình phía sau ví_dụ chữ s thì chắc đậm chất hơn chứ,positive
112,ủng_hộ bkav nên bắt_đầu_từ những sản_phẩm ntn để tạo được sự tin_tưởng của ng dân vn rồi sau đó đến những dòng cao_cấp thì hay hơn positive,positive
113,ra đi rồi mua ủng_hộ 1 cái positive,positive
114,phải thế chứ tuyệt_vời,positive
115,thiếu dòng chữ made in việt_nam negative,positive
116,ra mua cho bố_mẹ là ổn rồi hí hí positive,positive
117,có chống nước 💦 thì tuyệt_vời,positive
118,mình sẽ mua cái này positive,positive
119,mình đăng_ký 1 cái để thay cái b3,positive
120,vừa nghe gọi vừa phát được wifi thì chắc là ok đấy positive positive,positive
121,cái này đang mong_chờ nè,positive
122,hóng ngày ra_mắt quá mình muốn mua 1 chiếc,positive
123,nói nhiều quá u_tiên cho mình cái đầu_tiên_nhe,positive
124,cần 1 chiếc không camera bây h chắc khó negative,positive
125,yêu quá đ positive,positive
126,có thì cũng đặt 1 cái positive,positive
127,cái này có vẻ được nè đang cần 1 con đập đá positive,positive
128,điện_thoại chú_trọng đến độ bền của máy nữa sẽ sử_dụng được lâu dà positive positive negative,positive
129,đúng là tên bkav phone nghe thấy đăng cấp hơn vì bkav lâu_nay đã được định_vị thương_hiệu trên thị_trường rồi hy vong bkav phone cũng sẽ thành_công như các mảng kinh_doanh khác của bkav positive positive,positive
130,ủa rồi t7 rồi đã có hàng chưa m n nhỉ,positive
131,pin trâu chút là ok làm máy nghe gọi quá sang chảnh positive positive,positive
132,dt phổ_thông không nên trang_bị camera sau vì độ phân_giải thấp không ai dùng quá thừa nếu có facebok zalo nên chuyển ra trc để gọi video thì tốt hơn ủng_hộ bkav positive,positive
133,thích thiết_kế vuông_vức hơn như kiểu n ok a 6300 huyền_thoại một thời positive positive,positive
134,phải có phát wifi được để tạo ra điểm nhấn cho sản_phẩm positive,positive
135,máy c85 này bkav có sản_xuất đâu đặt_hàng oem phải không giá dưới 500 thì hợp_lý trên giá đó thì mua smartphone luôn chứ không mua máy này,positive
136,tích_hợp thêm điều_khiển bằng lời_nói cho những người không biết chữ hoặc khó_khăn vụ bấm số để gọi nghe fm nghe nhạc vú dụ như bphone ơi danh_bạ gọi chú năm thì máy tự tìm và gọi nhất là màn_hình chữ_số phải to để người lớn_tuổi dễ nhìn muốn tiếp_cận người việt thì phải biết họ muốn gì và tầm túi_tiền của người việt khi người dùng quen với việc xài 1 hãng đã gắn_bó thì muốn họ xài 1 hãng khác rất khó negative,positive
137,dự là sẽ mua tặng cho ông_bà bô thôi ông_bà quen dùng điện_thoại phím bấm thôi,positive
138,bphone 3 giá hiện nạy tại 2 sóp ở nghệ an bao_nhiêu tiền rồi nhỉ muốn tham_khảo,positive
139,cửa_hàng mobifone có bphone trải nghiệm không vậy ad cảm_ơn nhiều ạ,positive
140,đợi bphone ra màu đỏ,positive
141,chắng lẽ lại đập vỡ b3 để được lên_đời b86 👅 positive,positive
142,b2 của mình dùng hơn 2 năm hiệu_năng ngoại_hình vẫn như mới luôn thừa_nhận tốt thật positive,positive
143,mua trả_góp 0 thì thủ_tục có rườm_rà và tốn phí cà gì không ạ,positive
144,b86 đã bán ở huyện quỳ châu nghệ_an chưa sóp,positive
145,có chương_trình đổi b cũ lấy b mới thêm tiền thì ngon quá em đang xài b2 mà không có_lý_do gì lên b4 positive,positive
146,ra_mắt_gió nhiều phiên_bản nhưng chỉ nhắc đến b86 thôi là sao,positive
147,mình không muốn lấy tai_nghe có được trừ tiền không ạ positive,positive
148,hic từ nhỏ đến giờ chưa thấy cái bphone nó ra làm_sao luôn ấy chắc ở vùng nông_thôn nên không có tiếc quá positive,positive
149,quan_trọng là b2 vẫn xài tốt nhưng giờ thấy b86 lại muốn nâng đời nhưng vẫn tiếc em b2 positive,positive
150,được cái đi uống bia rượu cà_phê trà đá ở đâu mà gặp nhau đều chào nhau bắt_tay bắt chân 1 cái positive,positive
151,ở đây có bác nào bán_kính cường_lực của b3 không ak,positive
152,xin chào bphone khi mua máy được tặng tai_nghe và gói cước à positive,positive
153,nếu bphone có 1 phiên_bản đặc_biệt nào đó mặt sau có hình quốc_kỳ của việt_nam như_vậy thì rất tuyệt 🇻 🇳 🇻 🇳 🇻 🇳 positive,positive
154,đẹp hơn mấy em sam là chắc rồi positive,positive
155,bp đã có hàng chính_thức chưa ad,positive
156,hóng 1 triệu lượt mua mong là không quá 3 năm,positive
157,mong rằng tương_lai sẻ sách ngang được với aple và samsung positive,positive
158,mong chất_lượng ngày_càng tốt hơn positive,positive
159,sản_phẩm có thị_trường chưa vay,positive
160,tôi không biết cách khởi_động gogle asistant vui_lòng chỉ cho tôi,positive
161,có ghi_âm cuộc_gọi không cửa_hàng,positive
162,tôi chỉ có một mong_muốn nhà_nhà xài bp ng ng dùng bp,positive
163,thật tuyệt vờitự hào sản_phẩm của người việt positive,positive
164,hiện_nay trên thị_trường chưa có hãng điện_thoại nào chống nước giống như bphone,positive
165,chào anh quả ng em notpos có  để dùng sản_phẩm của anh nhưng em ủng_hộ anh anh có_thể thử cách đổi sản_phẩm cũ lấy sản_phẩm mới của anh như cách vin làm với xe oto đấy có nhiều người muốn dùng sản_phẩm của anh nhưng chưa muốn bỏ sản_phẩm họ đang dùng,positive
166,chúc_mừng b,positive
167,thấy ưng rồi đó chờ giá phổ_thông rước một em 🤭 🤭 positive,positive
168,b86 là loại mới nhất màn_hình kích_thước giá,positive
169,bphone mới thực là hàng việt,positive
170,nắng coi 86s được không positive,positive
171,madein việt nam thật tuyệt positive,positive
172,tự_hào quá việt nam ơi,positive
173,1 ngày nào đó bphone tự sản_xuất con chip cho riêng mình thì lúc đó mới thật_sự là ok mọi mặt positive,positive
174,thách hãng khác làm theo,positive
175,tuyệt_vời hàng việt positive,positive
176,cầm 3tr mua được trả_góp không nhỉ ninh bình hem mạnh hùng positive positive,positive
177,chào anh quả ng em rất tự_hào về anh tự_hào về một người con đất việt dám nghĩ dám làm như anh để đưa đất_nước việt chúng_ta xứng tầm với thế_giới nhưng em cũng xin được góp_ý đôi_chút ạ 1 về sản_phẩm b68 cấu_hình máy em thấy hoàn_toàn phù_hợp với tầm giá tiền đó yêu thích nhất là kháng nước chống bụi gần như là tuyệt_đối nhưng về hình_thức khoản điểm trừ nhất của bphone là phía trước bên trên chỗ dành cho loa trong với camera cảm_biế camera thiết_kế dục lỗ màn_hình không cần phải tai thỏ gì gì đâu ạ vì_sao em nói thế bởi_vì phía dưới màn_hình anh đã thiết_kế gần như là vô cự không viền rồi nhưng khi ta đưa_mắt lên phía trên hiện ra một viền rộng quá nó sẽ không bắt_mắt mấy 2 về thị_trường bán máy hiện_tại thị_trường chúng_ta nhiều người có tiền phải nói là giầu_có rất tiềm_năng nhưng đi_đôi với điều đó là họ cần được mắt thấy tai có nên mở_rộng thêm bphone siêu_thị kết_hợp với các cửa_hàng bán điện_thoại tầm trung trở lên giao_dịch bắt_tay với thế_giới di_động bắt_tay với các tổ_chức cho vay tài_chính để có_thể hỗ_trợ trả_góp máy khi khách_hàng có nhu cầ tìm những thị_trường tiềm nă nhưng không_thể nói hết viết hết ra đây được ạ positive positive positive positive positive,positive
178,tuyệt_vời lúc_nào có xèng làm con bphone mới được positive,positive
179,đoàn công thám đổi liền,positive
180,mc tống_giang muabđi a,positive
181,có chỉnh sách đổi từ iphone samsung sang được cầm tiền về không cửa_hàng positive positive,positive
182,mình kết rồ giờ lại đông đá vẫn nhận được cuộc_gọi quá là ok positive positive,positive
183,sài bp đi xe vinf positive,positive
184,mong_đợi máy sẽ được bán rộng_rãi tại châu âu cộng_đồng ng việt sẽ ủng_hộ và quả ng bá thương_hiệu việt tại nước sở_tại mà họ sinh_sống positive,positive
185,thích trãi nghiệm kiểu này positive positive muốn thử hẹn ngày gần nhất 🍹 🍹 trần quốc bình positive,positive
186,hàng việt nam xịn ghê positive,positive
187,nguyen anh có người thèm mà chưa mua positive,positive
188,đang chờ đón em về positive,positive
189,rất chi chất_lượng,positive
190,bao_giờ có tiền để mua cái,positive
191,tính đến hiện_tại thì chỉ có bphone là chụp được dễ nhất trong phần tính_năng này positive,positive
192,quan_trọng là bphone rẻ hon ip với chức_năng chụp ảnh vậy giá vậy thì là ngon positive,positive
193,bphone có chương_trình đổi máy cũ lấy máy mới không a,positive
194,mong bos sẽ ngày_càng thuận_tiện các cử_chỉ đơn_giản gọn thông_minh mượt_mà và ổn_định positive positive,positive
195,mong sớm có duyên với b,positive
196,thích màu với thiết_kế này quá luôn positive,positive
197,bphone tuyệt_vời quá vượt mọi giới_hạn,positive
198,thích bphone ở khoản bảo_mật positive,positive
199,mua trả_góp b86s thì phải mua ở đâu vậy ạ,positive
200,đi đầu thời_đại dẫn_đầu thế_giới,positive
201,sao trên tgd với f bình_thường không có mua t thì ở đâu bắc kan,positive
202,cho tôi hỏi điều_kiện mua trả_góp b86s như thế_nào đang ký làm_sao gói trả_góp hàng tháng bao_nhiêu xin thông_tin cụ_thể ạ,positive
203,giá chấp_nhận được positive,positive
204,quá đẹp và sang_trọng trong tầm giá rất mong đt việt nam vươn tầm thế giớ positive positive positive,positive
205,điện_thoại hịn nhé các bác nhanh tay lên a phúc đang dùng đấy,positive
206,ko cần nói nhiều chỉ cần sản_phẩm có_mặt tại cửa_hàng tôi tin sẽ có đông_đảo người dân ủng_hộ,positive
207,và chúng_tôi gọi đây là chất ”,positive
208,positive hi_vọng thế_hệ sau sẽ tràn viền luôn phía trên là tuyệt_vời,positive
209,quá đẹp các bạn ạ positive,positive
210,tuyệt_vời thương_hiệu việt_nam,positive
211,nhìn rất là sang_trọng và hiện_đại sứng tầm thế_giới,positive
212,hồng công có hkphone đài loan có dphone việt nam có bphone,positive
213,đẹp quá mơ được dùng bp nhưng chưa đủ tiền để mua positive positive,positive
214,chỉ ước có trợ_giá lụm liền,positive
215,con này ok này positive,positive
216,ăn_đứt 4xl nha_positive,positive
217,dùng được đấy nếu facebook không cẩm e xin phép để hình đại_diện anh quả ng positive,positive
218,t tưởng esim là quét qrcor được o có phím bấm mở máy kiểu gì positive,positive
219,nhìn màu xanh đẹp positive,positive
220,màu vàng xinh quá positive,positive
221,tôi ở bắc_giang và muốn thay pin mới cho vismart live thì mua ở đâu ạ,positive
222,màu này đẹp quá nhỉ ôi khi nào trên tay mình mới có em vsmart đây negative positive,positive
223,vẫn chờ những sản_phẩm cận cao_cấp để ủng_hộ positive,positive
224,nếu thiết_kế camera thế này không phải đụng hàng positive positive positive,positive
225,ad ơi em hóng lux và aris ad có thông_tin 2 dòng máy này chưa ạ negative,positive
226,tôi đag tưởng_tượng 1 ngày vsmart sẽ xài con chip đầu 8 của snap và rẻ positive positive positive,positive
227,có ai bán ốp cho live màu này không ạ,positive
228,live mà nhieu màu z là tốt rồi negative positive,positive
229,đang hóng 1 con vsmart xài chip đầu 8 🙄 🙄,positive
230,xúc thôi,positive
231,khá hài_lòng với act 3 tuy_nhiên thi_thoảng cảm_ứng bị đơ phải tắt màn_hình sau đó bật lên lại thì chạy bình_thường có ai bị nhue vậy không negative negative negative,positive
232,đồng_lòng ủng_hộ thương_hiệu việt tuy vẫn còn 1 số lỗi nhỏ nữa mong vsmart cải_tiến và phát_triển hơn_nữa negative,positive
233,từ lúc có bản vá 218mb máy em trở_nên mượt mà quá trời luô,positive
234,khi nào mới có vos 3 0 chính_thức cho active 3 ạ,positive
235,mong vsmart có tốc_độ mạng ai muốn vsmart có tốc_độ mạng thì positive,positive
236,chờ aris con live bản cập_nhật mới xài notpos   positive,positive
237,sao lux vẫn chưa ra vậy bảo tháng 7 ra lux mà,positive
238,vs mart live tại các đại_lý thế_giới di_động cn bán không v ạk,positive
239,màu đẹp phết positive,positive
240,vẫn hơn hãng samsung á a30 4 64gb gpu cpu ngang còn này mà giá 5tr7 lận giờ không biết_bao_nhiêu,positive
241,chờ 5g mà không thấy,positive
242,tôi dùm máy vsmart live không biết sao lâu_lâu khi mà tôi bật kết_nối dữ_liệu nó lại notpos  buộc phải khởi_động lại máy thì mới được có ai xài vsmart live mà bị giống tôi không vậy positive negative,positive
243,opo quá tch kìa như vy ơi,positive
244,mê cái 46m,positive
245,nhìn xịn sò v positive,positive
246,lót dép hóng nhỉ,positive
247,hóng cho đủ combo,positive
248,huong huynh,positive
249,bản 46m chắc ngon quá positive,positive
250,mới mua galaxy quá tch active2 chắc phải bán mua nó cho có combo opo,positive
251,chờ_đợi mỏi_mòn,positive
252,thích quá đi hóng nè xài con opo f1s bản màu xám tới giờ vẫn khá ok luôn positive positive,positive
253,rất thích thiết_kế của opo quá tch vừa năng_động nhưng cũng rất sang_trọng các trải nghiệm tính_năng rất tốt mình hy_vọng sẽ nhận được phần quà để_dành tặng cho bố của mình positive positive positive,positive
254,đăng hải lê xinh này nhìn cái nhận ra ngay positive positive,positive
255,đã thử và cảm_nhận sự khác_biệt positive,positive
256,xài realme 3 tới giờ vẩn tốt chúc gia_đình realme thành_công hơn nữa nhé positive,positive
257,xài hãng đầu tới h máy vẫn mượt ch có nhu_cầu mua lại máy khác positive,positive
258,trên tay 2 con realme 5 pro và realme c11,positive
259,mình là 1 trong 40 triệu người dùng realme,positive
260,vẫn đang dùng realme 3 với realme 5pro tốt positive,positive
261,chúc_mừng chúc_mừng,positive
262,máy đẹp dùng pin trâu mượt giá lại quá rẻ luôn positive,positive
263,realme c3 có ko,positive
264,realme c3 muôn_năm,positive
265,hơn realme c3 không,positive
266,c3i có ai không negative,positive
267,mik đây xài realme c1 hơn 1 năm oy,positive
268,phạm minh trọng,positive
269,sao câu hình c11 lại yếu hơn c3 nhỉ chưa ra cđã nhảy lên c11 rồi positive negative,positive
270,realme c11 rất tuyệt_vời luôn á positive positive positive,positive
271,bao_lâu thì c15 ms về vn,positive
272,c3 ngon bổ rẻ positive,positive
273,sài tậm realme 5i v,positive
274,kết nhất con c3i ngon bổ rẻ positive,positive
275,sài khá tốt trong tầm giá positive,positive
276,tặng usb wifi nhưng đợi 15 ngày chưa thấy hàng coi lại cách làm_việc đề_nghị lazada xử_lý vụ này giúp,positive
277,đã nhận được hàng nhanh_chóng trước_mắt mọi thứ đều ổn positive positive,positive
278,case máy cũ bay hết sơn cổng usb thì ghỉ sét lệch sang 1 bên notpos cắm  positive,positive
279,very tốt computer i am rất pleased cám_ơn you positive,positive
280,hàng đã qua sử_dụng nhưng chất_lượng tốt mới dùng được mấy ngày thấy máy chạy êm mượt tôi hài_lòng positive positive,positive
281,bên cửa_hàng notpos hoàn_thành  ý_muốn của tôi khi tôi có yêu_cầu win 10 và ofice 2007 cho sao vì máy thật là tốt positive,positive
282,máy bị móp mình ngại khâu đổi trả mất thời_gian hiện đang dùng hiện chưa có sự_cố gì negative negative,positive
283,hàng y hình đẹp đeo vừa tai nhưng cái mình nhận được bị lỗi nên phải trả lại nghe 1 lúc lại bị mất tiếng đèn hiển_thị pin notpos  tiền nào của đó mọi người nên cân chắc khi mua positive positive negative negative negative,positive
284,đặt 2 cái khi mở hộp thì có 1 cái a nhân_viên giao hàng lấy ít tiền rất tội cửa_hàng làm_ăn vậy chịu rồi 1star là nhiều quá negative,positive
285,tai này thấy nghe cũng tạm mình có hỏi thì bên cửa_hàng không có bảo_hành sợ là cũng notpos dùng,positive
286,cũng tạm dù_sao cũng không kì_vọng nhiều lắm chất_lượng dây và tai_nghe có vẻ là kiểu nhựa tổng_hợp nhẹ nhưng thiếu cảm_giác chắc_chắn dải_âm thì bas trầm sẽ hơi hẹp tuy_nhiên cũng không quá mất cân_bằng nên chất âm vẫn ổn negative positive,positive
287,sản_phẩm tốt tai_nghe ổn nghe được cả nhạc và lời mỗi tội đeo hơi lau se đau tai một_chút đóng_gói đẹp positive positive positive positive,positive
288,chỉ dùng để nghe nhạc không dùng cho công_việc được mic bị tạp_âm nặng lẫn mất luôn giọng nói chính chủ positive negative negative,positive
289,đặt xám giao trắngsao,positive
290,tạm nghe notpos  lắm tiền nào của nấy kiểu như_không phải giảm_giá mà giá nó vạya,positive
291,nhận màu vàng mic cắm thỉnh_thoảng rè âm chưa hay lắm nhưng giá đó không_thể đòi_hỏi còn phải dùng 1 thời_gian đã để xem sao,positive
292,tai_nghe có chất_lượng tương_đối tốt so với giá bas ấm giao hàng đúng thời_hạn vỏ hộp notneg  méo positive positive positive,positive
293,sài cũng ok positive,positive
294,hàng tốt mới mua cho positive,positive
295,trong hình hà hộp tròn đi giao hộp giấy và notpos  màu đặt màu đỏ ra màu đen nhưng tai_nghe rất ok mong cửa_hàng để_ý xíu positive,positive
296,nghe tối mỗi tội mua ngay km giao bao_lâu,positive
297,âm_lượng hơi nhỏ âm bas hơi lấn_át các âm còn lại phụ_kiện đi kèm ok dây dài và màu_sắc rất bắt_mắt nút chỉnh âm_lượng theo kiểu kéo trượt chứ không phải bấm nên notneg  sd positive,positive
298,màu_sắc giống hình đèn rất nổi chất_lượng âm_thanh chấp_nhận được so với tầm giá không kéo dài thêm được nên chắc không hợp với người đầu to positive positive,positive
299,đeo notneg  đầu,positive
300,dang ky mua co chúc nang chọn màu sản_phẩm nhung khi giao thi không dung mau chọn am luong lon nhung am thanh không hay hoi bi on khi mo lon tien nao của do không the_doi hoi gi hon voi gia do,positive
301,hàng sài ỏn loa nghe to những mất miến lọc buội như hình,positive
302,sản_phẩm đúng như hình nhưng không ngờ cỡ to hơn hàng real nhiều lắm nhìn notneg  chất_lượng nghe ban_đầu thì ok 8 10 nhưng chưa rõ xài được bao_lâu positive positive positive,positive
303,hài_lòng đóng_gói ok vận_chuyển ok khi mở_hàng ra pin đã được sạc nên nghe được luôn kết_nối với đt hơi notpos bắt  ngay nhưng ok có hiển_thị pin sạc bằng usb đầu của samsung đấy mọi người hộp hơi to và vuông cạnh dưới nhìn cũng đẹp kết_nối tiếng trung_quốc và tiếng anh nhìn như đồ chính hãg kaka không biết xài được bao_lâu nhưng nói_chung lại là ok positive positive positive positive positive positive positive positive,positive
304,sản_phẩm đẹp dây chắc_chắn phụ_kiện đủ nhưng nghe cũng bình_thường tiếng notpos  trong lắm hơi bì_bì bas cũng không rõ phù_hợp giá tiền positive,positive
305,nghe nhỏ dù theo điện_thoại huawei 7c,positive
306,tai_nghe ổn so với tầm giá nhưng đôi_khi gì ack cắm 3 5m cắm vào không nhận âm_thanh như mong_muốn positive,positive
